CSF	WhiteMatter	GlobalSignal	stdDVARS	non-stdDVARS	vx-wisestdDVARS	FramewiseDisplacement	tCompCor00	tCompCor01	tCompCor02	tCompCor03	tCompCor04	tCompCor05	aCompCor00	aCompCor01	aCompCor02	aCompCor03	aCompCor04	aCompCor05	Cosine00	Cosine01	Cosine02	Cosine03	Cosine04	Cosine05	Cosine06	NonSteadyStateOutlier00	X	Y	Z	RotX	RotY	RotZ
6.770158432785991	-0.00988893777707639	2.8951242693613604	n/a	n/a	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	-1.66854e-09	0.0	-1.68531e-09	0.0	7.19281e-05	0.0
2.3003713148490044	0.3871893089279409	0.5612926641039031	1.13843834	42.15897751	1.06220222	0.19212718691384997	0.0080494773	0.0422264974	0.0539503368	-0.005862272900000001	0.0142202045	-0.0438401809	0.0057488429	-0.028837521499999998	0.0269910144	-0.025736272	0.0370615149	-0.0238373095	0.060247278499999994	0.060246544000000006	0.06024532	0.0602436062	0.0602414029	0.06023871	0.0602355276	0.0	1.27856e-06	0.0545093	0.102026	-0.000275429	-0.000193912	-0.000170543
1.4100557300011525	0.1054147693344802	-0.4660255378515481	1.02727354	38.04228973	0.96195972	0.10396000856	0.0449825387	-0.0098127648	-0.0198899338	0.0076034066	-0.0305085675	0.0448350842	0.0011075453	-0.0400655406	-0.0335611031	0.0023188948	-0.0094012737	-0.0021609397	0.06024532	0.06023871	0.060227694000000005	0.0602122728	0.0601924474	0.0601682192	0.060139590199999995	0.0	-0.00255963	0.0143818	0.0524896	-0.00014254	-0.00021158	-0.00025469
-1.4595454640753118	0.10667261568639512	-1.0244875429116684	0.99292815	36.770401	0.94262177	0.02800611252	0.022160102400000003	-0.0626815998	-0.048256699900000005	-0.0118393825	-0.025451194700000002	-0.0464739416	0.0050532075	0.0017819259	-0.0587143928	0.0080231834	-0.0135599876	-0.0139945928	0.0602414029	0.060223043	0.0601924474	0.0601496221	0.060094576	0.0600273202	0.0599478683	0.0	-5.51748e-06	0.0143838	0.0408561	-0.000238132	-0.000142009	-0.000143523
-0.7157084387012463	-0.7340992731228806	-1.421608749365755	0.98178101	36.35759735	0.93981087	0.052625959609999995	-0.0264046659	-0.0635216423	-0.0291196762	0.0165217417	0.07215581509999999	-0.0385423671	0.009475316899999999	0.0422711398	-0.0496487119	0.0097931849	-0.0116144119	-0.013200689	0.0602355276	0.060199545099999995	0.060139590199999995	0.060055686799999994	0.0599478683	0.059816177699999994	0.059660667199999996	0.0	5.84213e-06	0.0337853	0.0312871	1.96931e-05	-0.000312585	-9.90421e-05
-0.9592047253116952	-0.6968557208054501	-1.688789188805978	1.0388006	38.46916199	0.9956277	0.17955554226999998	-0.0741593862	-0.024011330499999997	0.0179025631	0.0047125182	-0.0053235971	-0.0141772075	0.0052674529000000005	0.0711505307	-0.0063355046	-0.0405031956	0.0327784645	0.0112486379	0.060227694000000005	0.0601682192	0.060069138099999995	0.0599305158	0.0597524436	0.0595350388	0.059278444400000005	0.0	6.36244e-05	0.0756463	0.120344	-0.0008287359999999998	-0.000388211	-5.15e-05
-0.8749951014050195	-0.979513688233562	-2.4119787451620813	0.99952489	37.01469421	0.9595257	0.08083952220000001	-0.061483580700000005	0.0318564009	-0.030260521600000003	0.01745164	-0.0374373839	-0.011791566000000002	-0.007239985	0.0436185455	0.0419692884	-0.023110823	0.0015865032	0.0173843345	0.0602179026	0.0601290696	0.059981111600000005	0.0597741742	0.0595084607	0.0591842326	0.058801808600000005	0.0	4.37372e-05	0.0482747	0.0950661	-0.000319615	-0.000379323	-9.68937e-05
-1.4097295022493317	-1.0189494354199118	-2.0964485216924005	1.01567996	37.61295319	0.97183597	0.1094627622	-0.0184681501	0.0609684926	-0.0396356269	0.0046564723	-0.0165987027	-0.0758711872	-0.007003425799999999	0.0025066352999999998	0.0683352013	0.0063382108	-0.0408573004	0.038805527299999996	0.060206153600000006	0.0600821012	0.05987553650000001	0.0595867432	0.059216117900000004	0.058764169500000005	0.058231518899999994	0.0	-0.00199971	0.0179845	0.0446047	4.9428e-05	-0.000468119	-0.000172409
-1.6276700931237915	-1.8663078937797517	-2.19238749262495	0.97499019	36.10611725	0.94267613	0.03956281650000001	0.0123112583	0.059989741299999996	-0.020338568300000002	-0.010648831299999998	0.040375230299999995	-0.019838407199999998	0.013232146299999999	-0.038971209900000005	0.059769481500000006	0.0112436274	-0.031000749100000002	0.0343155199	0.0601924474	0.0600273202	0.0597524436	0.0593683204	0.058875652599999995	0.058275341200000004	0.057568483600000005	0.0	2.41065e-05	0.0290724	0.0524108	-0.000261327	-0.000468119	-0.000110264
-2.0887831131971164	-0.9550187342759032	-1.1694384270341545	1.00721288	37.29939651	0.97200406	0.09336222859999997	0.051959461900000004	0.046409370199999994	0.0181914253	-0.002497676	0.0408136452	0.0065015955	0.0114024012	-0.0655729705	0.0261011382	-0.0066257962	0.013037671499999999	-0.0019171351000000002	0.0601767844	0.0599647336	0.0596118691	0.0591190193	0.0584873417	0.0577183196	0.056813758799999996	0.0	3.64851e-05	0.0570493	0.0982126	-0.000603431	-0.000468119	-6.0945e-05
