,sub_id,run,presentation_order,video_number,video_category,category,expected_fear,fear,arousal,valence
551,19,1,12,20,2,Social,0.389,0.0,0.493,0.0
552,19,2,13,32,3,Spiders,0.0,0.0,0.499,0.008000000000000007
553,19,2,14,6,1,Heights,0.616,1.0,0.499,0.8089999999999999
554,19,2,15,13,2,Social,0.366,0.587,0.499,0.577
555,19,2,16,24,2,Social,0.384,0.782,0.499,0.868
556,19,2,17,12,1,Heights,0.649,0.3717220255340639,0.12935312333155366,-0.264730752013312
557,19,2,18,3,1,Heights,0.7734082397003744,1.0,0.8083195276798544,0.5443599773192829
558,19,2,19,8,1,Heights,0.862490806945863,0.0,0.498,0.0
559,19,2,20,15,2,Social,0.397,0.578451565854681,0.496,1.0
560,19,2,21,23,2,Social,0.599,0.0,0.499,0.0
561,19,2,22,25,3,Spiders,0.0,0.00593084307244635,0.7666034794740403,0.6736529759331316
562,19,2,23,30,3,Spiders,0.017,0.0,0.499,0.0
563,19,2,24,34,3,Spiders,0.021,0.0,0.499,0.0
564,19,3,25,29,3,Spiders,0.0,0.0,0.509,0.0
565,19,3,26,31,3,Spiders,0.0,0.0,0.493,0.0
566,19,3,27,1,1,Heights,0.597,1.0,0.499,1.0
567,19,3,28,11,1,Heights,0.706,0.553,0.499,0.5740000000000001
568,19,3,29,7,1,Heights,0.652,0.25746610217257726,0.5217130000737183,0.497
569,19,3,30,18,2,Social,0.363,0.0,0.499,0.0
570,19,3,31,2,1,Heights,0.613,0.995,0.499,0.671
571,19,3,32,27,3,Spiders,0.0,0.0,0.499,0.0
572,19,3,33,33,3,Spiders,0.0,0.0,0.499,0.0
573,19,3,34,16,2,Social,0.379,0.673,0.499,0.788
574,19,3,35,21,2,Social,0.392,0.008,0.499,0.0
575,19,3,36,19,2,Social,0.387,0.11689740193236307,0.0026994003382707216,-0.04183733177296678
576,23,1,1,33,3,Spiders,0.225,0.126,0.046,0.0
577,23,1,2,31,3,Spiders,0.173,0.126,0.0,0.22599999999999998
578,23,1,3,11,1,Heights,0.693,0.0,0.264,0.0
579,23,1,4,7,1,Heights,0.226,0.0,0.139,0.07599999999999996
580,23,1,5,23,2,Social,0.257,0.0,0.0,0.16400000000000003
581,23,1,6,14,2,Social,0.259,0.628,0.49,0.967
582,23,1,7,29,3,Spiders,0.243,0.478,0.095,0.657
583,23,1,8,27,3,Spiders,0.381,0.712,0.587,0.925
584,23,1,9,5,1,Heights,0.265,0.712,0.969,0.595
585,23,1,10,2,1,Heights,0.379,0.421,0.456,0.531
586,23,1,11,18,2,Social,0.347,0.561,0.451,0.926
587,23,1,12,20,2,Social,0.337,0.395,0.205,0.7070000000000001
588,23,2,13,30,3,Spiders,2.174242424242424,0.504,0.545,0.78
589,23,2,14,34,3,Spiders,0.413,0.087,0.212,0.605
590,23,2,15,13,2,Social,0.308,0.542,0.576,0.401
591,23,2,16,16,2,Social,0.345,0.782,0.784,0.861
592,23,2,17,21,2,Social,0.395,0.122,0.803,0.16600000000000004
593,23,2,18,4,1,Heights,0.238,0.849,0.883,0.891
594,23,2,19,1,1,Heights,0.26,0.685,0.813,0.8
595,23,2,20,10,1,Heights,0.538,0.168,0.551,0.19999999999999996
596,23,2,21,19,2,Social,0.41,0.215,0.311,0.5589999999999999
597,23,2,22,32,3,Spiders,0.413,0.548,0.532,0.5740000000000001
598,23,2,23,28,3,Spiders,0.439,0.631,0.963,0.8009999999999999
599,23,2,24,12,1,Heights,0.404,0.389,0.748,0.22099999999999997
600,23,3,25,3,1,Heights,0.41,0.742,0.803,0.896
601,23,3,26,17,2,Social,0.413,0.428,0.384,0.501
602,23,3,27,8,1,Heights,0.381,0.153,0.581,0.271
603,23,3,28,6,1,Heights,0.334,0.594,0.631,0.86
604,23,3,29,9,1,Heights,0.48,0.0,0.579,0.07899999999999996
605,23,3,30,26,3,Spiders,0.426,0.826,0.886,0.907
606,23,3,31,35,3,Spiders,0.573,0.443,0.654,0.746
607,23,3,32,22,2,Social,0.542,0.0,0.504,0.41300000000000003
608,23,3,33,15,2,Social,0.365,0.712,0.699,0.45999999999999996
609,23,3,34,24,2,Social,0.56,0.551,0.543,0.605
610,23,3,35,25,3,Spiders,0.54,0.615,0.638,0.622
611,23,3,36,36,3,Spiders,0.573,0.293,0.421,0.45299999999999996
612,25,1,1,12,1,Heights,0.706,0.73,0.571,0.7070000000000001
613,25,1,2,5,1,Heights,0.838,1.0,1.0,1.0
614,25,1,3,24,2,Social,0.369,0.711,0.628,0.6579999999999999
615,25,1,4,26,3,Spiders,1.0,0.96,1.0,1.0
616,25,1,5,17,2,Social,0.55,0.013,0.33,0.31200000000000006
617,25,1,6,22,2,Social,0.356,0.124,0.233,0.346
618,25,1,7,16,2,Social,0.381,1.0,0.695,0.84
619,25,1,8,30,3,Spiders,1.0,1.0,1.0,1.0
620,25,1,9,33,3,Spiders,1.0,1.0,1.0,1.0
621,25,1,10,34,3,Spiders,0.966,0.391,0.378,1.0
622,25,1,11,11,1,Heights,0.912,0.0,0.015,0.688
623,25,1,12,4,1,Heights,1.0,1.0,1.0,1.0
624,25,2,13,1,1,Heights,0.308,1.0,1.0,1.0
625,25,2,14,7,1,Heights,1.0,0.709,0.446,0.673
626,25,2,15,14,2,Social,0.394,0.316,0.49,0.876
627,25,2,16,28,3,Spiders,1.0,1.0,0.683,1.0
628,25,2,17,25,3,Spiders,1.0,1.0,1.0,1.0
629,25,2,18,32,3,Spiders,1.0,1.0,1.0,1.0
630,25,2,19,18,2,Social,0.319,1.0,1.0,1.0
631,25,2,20,21,2,Social,0.392,0.0,0.109,0.22099999999999997
632,25,2,21,20,2,Social,0.246,0.21,0.262,0.265
633,25,2,22,36,3,Spiders,1.0,1.0,1.0,1.0
634,25,2,23,9,1,Heights,0.799,0.036,0.0,0.0
635,25,2,24,3,1,Heights,0.696,1.0,1.0,1.0
636,25,3,25,19,2,Social,0.272,0.0,0.104,0.22899999999999998
637,25,3,26,13,2,Social,0.4793210010881396,0.657,0.033,0.278
638,25,3,27,23,2,Social,0.407,0.0,0.0,0.0
639,25,3,28,27,3,Spiders,1.0,1.0,1.0,1.0
640,25,3,29,10,1,Heights,0.774,0.782,0.688,0.935
641,25,3,30,8,1,Heights,0.735,0.368,0.623,0.31000000000000005
642,25,3,31,6,1,Heights,0.737,0.771,0.665,0.738
643,25,3,32,15,2,Social,0.391,0.0,0.169,0.0
644,25,3,33,29,3,Spiders,0.911,1.0,1.0,1.0
645,25,3,34,35,3,Spiders,1.0,0.935,1.0,1.0
646,25,3,35,31,3,Spiders,1.0,0.304,0.3150730248975931,0.501
647,25,3,36,2,1,Heights,0.29,1.0,1.0,1.0
648,26,1,1,35,3,Spiders,1.3757974481658692,0.1932891370012494,0.169,0.8313301628476726
649,26,1,2,13,2,Social,0.104,0.184,0.27,0.6839999999999999
650,26,1,3,1,1,Heights,0.35,0.49258002703323434,0.376,0.5640000000000001
651,26,1,4,12,1,Heights,0.35,0.161,0.189,0.7150000000000001
652,26,1,5,10,1,Heights,0.387,0.288,0.499,0.501
653,26,1,6,30,3,Spiders,0.332,0.386,0.6562990963018132,0.501
654,26,1,7,34,3,Spiders,0.327,0.083,0.109,0.501
655,26,1,8,28,3,Spiders,0.213,0.343,0.208,0.5720000000000001
656,26,1,9,20,2,Social,0.117,0.056,0.041,0.515
657,26,1,10,19,2,Social,0.064,0.152,0.153,0.611
658,26,1,11,18,2,Social,0.08,0.32582994274009597,0.499,0.501
659,26,1,12,4,1,Heights,0.179,0.4632877661775739,0.499,0.769
660,26,2,13,11,1,Heights,1.1742272727272722,0.129,0.117,0.554
661,26,2,14,3,1,Heights,4.475400068096694,0.537,0.561,0.5660000000000001
662,26,2,15,7,1,Heights,0.309,0.085,0.499,0.735
663,26,2,16,23,2,Social,0.078,0.117,0.07,0.6679999999999999
664,26,2,17,24,2,Social,0.051,0.21633644420160786,0.499,0.7170000000000001
665,26,2,18,5,1,Heights,0.15,0.56,0.499,0.622
666,26,2,19,26,3,Spiders,0.155,0.4014223743931176,0.132,0.46599999999999997
667,26,2,20,36,3,Spiders,0.129,0.091,0.07,0.538
668,26,2,21,14,2,Social,0.062,0.223,0.085,0.627
669,26,2,22,15,2,Social,0.088,0.529,0.524,0.5429999999999999
670,26,2,23,25,3,Spiders,0.095,0.147,0.093,0.525
671,26,2,24,31,3,Spiders,0.103,0.069,0.057,0.514
672,26,3,25,27,3,Spiders,0.082,0.132,0.499,0.634
673,26,3,26,32,3,Spiders,0.117,0.129,0.08,0.567
674,26,3,27,2,1,Heights,0.286,0.545,0.548,0.65
675,26,3,28,8,1,Heights,0.238,0.08,0.049,0.46299999999999997
676,26,3,29,9,1,Heights,0.195,0.074,0.082,0.489
677,26,3,30,16,2,Social,0.057,0.525926772496625,0.499,0.774
678,26,3,31,6,1,Heights,0.298,0.574,0.605,0.619
679,26,3,32,29,3,Spiders,0.204,0.095,0.082,0.5609999999999999
680,26,3,33,33,3,Spiders,0.13,0.114,0.106,0.514
681,26,3,34,17,2,Social,0.064,0.241,0.499,0.579
682,26,3,35,22,2,Social,0.083,0.0709587076951725,0.038,0.527
683,26,3,36,21,2,Social,0.048,0.067,0.061,0.45199999999999996
684,28,1,1,11,1,Heights,0.199,0.119,0.244,0.44199999999999995
