,sub_id,run,video_number,video_category,category,expected_fear,fear,arousal,valence
703,28,2,3,1,Heights,0.264,0.698,0.69,0.16
704,28,2,28,3,Spiders,0.836,0.857,0.849,0.007
705,28,2,33,3,Spiders,0.917,1.0,1.0,0.046
706,28,2,23,2,Social,0.132,0.064,0.0,0.501
707,28,2,22,2,Social,0.14,0.087,0.27,0.63
708,28,3,31,3,Spiders,0.896,0.672,0.634,0.0
709,28,3,2,1,Heights,0.192,0.68,0.639,0.597
710,28,3,13,2,Social,0.048,0.104,0.602,0.669
711,28,3,15,2,Social,0.155,0.607,0.608,0.247
712,28,3,9,1,Heights,0.238,0.09639537513172634,0.499,0.618
713,28,3,7,1,Heights,0.085,0.212,0.499,0.69
714,28,3,4,1,Heights,0.168,0.685,0.644,0.299
715,28,3,19,2,Social,0.223,0.116,0.108,0.501
716,28,3,21,2,Social,0.182,0.065,0.532,0.751
717,28,3,25,3,Spiders,0.774,0.984,1.0,0.004
718,28,3,36,3,Spiders,0.888,0.808,0.699,0.056
719,28,3,26,3,Spiders,0.872,1.0,1.0,0.026
720,29,1,12,1,Heights,0.665,0.394,0.486,0.582
721,29,1,25,3,Spiders,0.399,0.517,0.431,0.405
722,29,1,31,3,Spiders,0.501,0.23,0.332,0.408
723,29,1,21,2,Social,0.387,0.174,0.499,0.55
724,29,1,19,2,Social,0.288,0.335,0.664,0.651
725,29,1,28,3,Spiders,0.8061083333333333,0.473,0.573,0.379
726,29,1,33,3,Spiders,0.452,0.387,0.496,0.475
727,29,1,3,1,Heights,1.0486891385767787,0.561,0.631,0.452
728,29,1,4,1,Heights,0.61,0.498,0.535,0.499
729,29,1,11,1,Heights,0.49,0.459,0.529,0.499
730,29,1,13,2,Social,0.451,0.43,0.61,0.538
731,29,1,18,2,Social,0.446,0.444,0.499,0.499
732,29,2,2,1,Heights,0.543,0.534,0.547,0.46
733,29,2,9,1,Heights,0.556,0.441,0.397,0.512
734,29,2,1,1,Heights,0.425,0.532,0.545,0.462
735,29,2,22,2,Social,0.436,0.449,0.498,0.54
736,29,2,15,2,Social,0.477,0.547,0.538,0.449
737,29,2,16,2,Social,0.587,0.634,0.69,0.259
738,29,2,29,3,Spiders,0.438,0.509,0.54,0.467
739,29,2,23,2,Social,0.574,0.43,0.499,0.499
740,29,2,34,3,Spiders,0.434,0.404,0.412,0.467
741,29,2,26,3,Spiders,0.446,0.535,0.477,0.389
742,29,2,36,3,Spiders,0.542,0.46,0.46,0.49
743,29,2,10,1,Heights,0.464,0.496,0.514,0.499
744,29,3,35,3,Spiders,0.456,0.493,0.534,0.48
745,29,3,20,2,Social,0.43,0.525,0.522,0.477
746,29,3,24,2,Social,0.482,0.402,0.698,0.709
747,29,3,6,1,Heights,0.431,0.566,0.605,0.407
748,29,3,32,3,Spiders,0.462,0.465,0.477,0.473
749,29,3,30,3,Spiders,0.459,0.535,0.516,0.449
750,29,3,27,3,Spiders,0.454,0.547,0.529,0.457
751,29,3,14,2,Social,0.46,0.577,0.556,0.267
752,29,3,17,2,Social,0.6352790206746466,0.579,0.53,0.456
753,29,3,7,1,Heights,0.542,0.462,0.499,0.542
754,29,3,5,1,Heights,0.439,0.584,0.55,0.431
755,29,3,8,1,Heights,0.48,0.212,0.444,0.628
